,Product title,URL,PRICE,REGION,CREATED_DATE
0,"GSM репитер Сотовая связь 4г, gsm aloqa internet 4G, усилитель сигнала",https://www.olx.uz/d/oz/obyavlenie/gsm-repiter-sotovaya-svyaz-4g-gsm-aloqa-internet-4g-usilitel-signala-ID2bWxM.html,99 у.е.,"Toshkent, Olmazor tumani - Bugunda 05:36",Bugunda 05:36
1,"СКИДКА до 05.09!Беспроводной Джойстик Компьютер,PS3,Телефон Sven 5070",https://www.olx.uz/d/oz/obyavlenie/skidka-do-05-09-besprovodnoj-dzhojstik-kompyuter-ps3-telefon-sven-5070-ID2xSWA.html,35 у.е.,"Toshkent, Yakkasaroy tumani - 30-avgust, 2022","30-avgust, 2022"
2,TP-Link Archer AX55 AX3000 Двухдиапазонный гигабитный Wi‑Fi 6 роутер.,https://www.olx.uz/d/oz/obyavlenie/tp-link-archer-ax55-ax3000-dvuxdiapazonnyj-gigabitnyj-wifi-6-router-ID2IwvI.html,85 у.е.,"Toshkent, Mirobod tumani - Bugunda 09:40",Bugunda 09:40
3,Юпс+преобразователь+зарядное устройство.,https://www.olx.uz/d/oz/obyavlenie/yups-preobrazovatel-zaryadnoe-ustrojstvo-ID2Vdru.html,200 000 so’m,"Toshkent, Chilonzor tumani - Bugunda 13:51",Bugunda 13:51
4,Wifi router tplink TD8960 ADSL ADSL2+ Modem,https://www.olx.uz/d/oz/obyavlenie/wifi-router-tplink-td8960-adsl-adsl2-modem-ID2YjBh.html,"149 000 so’mKelishilgan
","Toshkent, Chilonzor tumani - Bugunda 13:48",Bugunda 13:48
5,"Printer zudlik bn sotiladi, Canon 4010",https://www.olx.uz/d/oz/obyavlenie/printer-zudlik-bn-sotiladi-canon-4010-ID2Vg4W.html,1 000 000 so’m,Qo'qon - Bugunda 13:45,Bugunda 13:45
6,Wi-Fi роутер Xiaomi Mi Wi-Fi Router 4C,https://www.olx.uz/d/oz/obyavlenie/wi-fi-router-xiaomi-mi-wi-fi-router-4c-ID2H35f.html,390 000 so’m,"Toshkent, Yunusobod tumani - Bugunda 13:44",Bugunda 13:44
7,Printer Epson L355 цветной,https://www.olx.uz/d/oz/obyavlenie/printer-epson-l355-cvetnoj-ID2YjzA.html,1 000 000 so’m,"Toshkent, Yunusobod tumani - Bugunda 13:40",Bugunda 13:40
8,4G  WiFi router sim картаlik  LB-Link BL-CPE450H. УСТАНОВКА БЕСПЛАТНО!,https://www.olx.uz/d/oz/obyavlenie/4g-wifi-router-sim-kartalik-lb-link-bl-cpe450h-ustanovka-besplatno-ID2JEvN.html,"45 у.е.Kelishilgan
",Buxoro - Bugunda 13:40,Bugunda 13:40
9,Wifi usilitel Tplink N300 TL-WA850RE Extender,https://www.olx.uz/d/oz/obyavlenie/wifi-usilitel-tplink-n300-tl-wa850re-extender-ID2YjyV.html,"139 000 so’mKelishilgan
","Toshkent, Chilonzor tumani - Bugunda 13:38",Bugunda 13:38
10,Принтер МФУ DocuCentre SC2020 (Перечислением),https://www.olx.uz/d/oz/obyavlenie/printer-mfu-docucentre-sc2020-perechisleniem-ID2WUrc.html,"24 500 000 so’mKelishilgan
","Toshkent, Yakkasaroy tumani - Bugunda 13:38",Bugunda 13:38
11,LB-LINK WR450H Вайфай роутер/Точка доступа/Усилитель вай фай,https://www.olx.uz/d/oz/obyavlenie/lb-link-wr450h-vajfaj-router-tochka-dostupa-usilitel-vaj-faj-ID2JEy4.html,"20 у.е.Kelishilgan
",Buxoro - Bugunda 13:35,Bugunda 13:35
12,Продается игровой руль  Logitech G27,https://www.olx.uz/d/oz/obyavlenie/prodaetsya-igrovoj-rul-logitech-g27-ID2Yjxw.html,"300 у.е.Kelishilgan
",Olmaliq - Bugunda 13:34,Bugunda 13:34
13,Epson L850 Цветной Принтер,https://www.olx.uz/d/oz/obyavlenie/epson-l850-cvetnoj-printer-ID2XUcd.html,4 000 000 so’m,"Nukus - 25-avgust, 2022","25-avgust, 2022"
14,Восстановление печатающей головки Canon PF03/04/06,https://www.olx.uz/d/oz/obyavlenie/vosstanovlenie-pechatayushhej-golovki-canon-pf03-04-06-ID2OCKC.html,2 300 000 so’m,"Toshkent, Shayxontohur tumani - 30-avgust, 2022","30-avgust, 2022"
15,ITK Патч панель и комплектующие СКС,https://www.olx.uz/d/oz/obyavlenie/itk-patch-panel-i-komplektuyushhie-sks-ID1wx3V.html,10 000 so’m,"Toshkent, Yunusobod tumani - 30-avgust, 2022","30-avgust, 2022"
16,Новый   VDSL/ADSL  wi-fi modem  роутер TP-Link VN020-F3,https://www.olx.uz/d/oz/obyavlenie/novyj-vdsl-adsl-wi-fi-modem-router-tp-link-vn020-f3-ID2PqRd.html,"26 у.е.Kelishilgan
",Buxoro - Bugunda 13:32,Bugunda 13:32
